Product_ID,Product_Name,Category,Current_Stock,Safety_Stock,Reorder_Point,Unit_Cost,Inventory_Value
P0044,Product 44,Packaging,1655,348,163,16.33,27026.15
P0045,Product 45,Spare Parts,2351,533,232,22.78,53555.78
P0046,Product 46,Finished Goods,420,608,429,13.05,5481.0
P0047,Product 47,Finished Goods,2469,503,210,51.63,127474.47
P0048,Product 48,Packaging,3131,88,912,33.64,105326.84
P0049,Product 49,Raw Material,3236,408,429,58.62,189694.32
P0050,Product 50,Finished Goods,3206,459,1055,64.99,208357.94
P0051,Product 51,Raw Material,4183,384,518,97.67,408553.61
P0052,Product 52,Consumables,4342,63,949,11.9,51669.8
P0053,Product 53,Consumables,3089,505,430,107.12,330893.68
P0054,Product 54,Finished Goods,4431,665,488,3.96,17546.76
P0055,Product 55,Raw Material,2577,205,1074,16.59,42752.43
P0056,Product 56,Spare Parts,1225,533,650,48.88,59878.0
P0057,Product 57,Finished Goods,3109,390,1192,43.93,136578.37
P0058,Product 58,Raw Material,3834,374,590,28.8,110419.2
P0059,Product 59,Finished Goods,391,58,1081,53.14,20777.74
P0060,Product 60,Raw Material,4174,321,733,28.02,116955.48
P0061,Product 61,Spare Parts,2767,277,716,37.16,102821.72
P0062,Product 62,Finished Goods,4154,249,1122,11.98,49764.92
P0063,Product 63,Finished Goods,3239,72,905,21.85,70772.15
P0064,Product 64,Packaging,498,241,422,19.38,9651.24
P0065,Product 65,Raw Material,894,328,407,9.94,8886.36
P0066,Product 66,Packaging,171,115,548,23.16,3960.36
P0067,Product 67,Finished Goods,1845,457,1181,14.0,25830.0
P0068,Product 68,Finished Goods,2062,308,581,8.67,17877.54
P0069,Product 69,Raw Material,4276,319,986,25.12,107413.12
P0070,Product 70,Finished Goods,1389,198,160,13.18,18307.02
P0071,Product 71,Raw Material,2960,669,1089,4.96,14681.6
P0072,Product 72,Finished Goods,2049,470,852,2.2,4507.8
P0073,Product 73,Raw Material,3143,460,185,38.81,121979.83
P0074,Product 74,Raw Material,1944,244,712,180.74,351358.56
P0075,Product 75,Consumables,959,72,626,122.65,117621.35
P0076,Product 76,Consumables,2389,570,396,76.66,183140.74
P0077,Product 77,Raw Material,2013,182,253,10.94,22022.22
P0078,Product 78,Spare Parts,1964,509,204,26.48,52006.72
P0079,Product 79,Raw Material,230,565,1113,12.19,2803.7
P0080,Product 80,Packaging,178,463,1036,44.51,7922.78
P0081,Product 81,Packaging,1778,510,426,40.36,71760.08
P0082,Product 82,Consumables,2105,674,763,43.95,92514.75
P0083,Product 83,Finished Goods,4020,530,503,7.4,29748.0
P0084,Product 84,Spare Parts,2770,607,608,132.28,366415.6
P0085,Product 85,Packaging,1097,184,217,71.91,78885.27
P0086,Product 86,Consumables,1519,302,1174,30.88,46906.72
P0087,Product 87,Finished Goods,3189,480,503,35.01,111646.89
P0088,Product 88,Finished Goods,3289,183,902,17.21,56603.69
P0089,Product 89,Finished Goods,4436,311,1172,27.8,123320.8
P0090,Product 90,Packaging,4225,116,1180,4.06,17153.5
P0091,Product 91,Finished Goods,1097,151,1083,44.66,48992.02
P0092,Product 92,Finished Goods,2828,357,934,42.77,120953.56
P0093,Product 93,Raw Material,2620,562,520,25.78,67543.6
P0094,Product 94,Finished Goods,2819,477,1136,13.62,38394.78
P0095,Product 95,Raw Material,1387,465,1037,33.53,46506.11
P0096,Product 96,Raw Material,4771,417,980,49.11,234303.81
P0097,Product 97,Finished Goods,3201,634,932,21.55,68981.55
P0098,Product 98,Raw Material,4290,522,574,55.44,237837.6
P0099,Product 99,Finished Goods,865,66,1039,13.37,11565.05
P0100,Product 100,Raw Material,3521,604,200,40.28,141825.88
P0101,Product 101,Finished Goods,1923,126,726,12.54,24114.42
P0102,Product 102,Spare Parts,2196,334,333,5.92,13000.32
P0103,Product 103,Finished Goods,3506,407,1033,24.55,86072.3
P0104,Product 104,Packaging,833,583,769,20.21,16834.93
P0105,Product 105,Raw Material,56,590,935,9.29,520.24
P0106,Product 106,Raw Material,4441,451,746,7.34,32596.94
P0107,Product 107,Consumables,3616,585,308,15.36,55541.76
P0108,Product 108,Raw Material,2862,109,254,85.47,244615.14
P0109,Product 109,Finished Goods,2795,448,418,15.72,43937.4
P0110,Product 110,Raw Material,4934,694,195,20.06,98976.04
P0111,Product 111,Raw Material,4354,185,755,14.66,63829.64
P0112,Product 112,Raw Material,640,674,154,45.53,29139.2
P0113,Product 113,Spare Parts,3687,676,679,18.2,67103.4
P0114,Product 114,Finished Goods,2641,171,713,44.34,117101.94
P0115,Product 115,Raw Material,2762,440,562,62.79,173425.98
P0116,Product 116,Raw Material,4038,454,581,20.28,81890.64
P0117,Product 117,Finished Goods,3428,546,372,355.54,1218791.12
P0118,Product 118,Raw Material,4030,73,800,6.1,24583.0
P0119,Product 119,Consumables,4884,482,423,21.37,104371.08
P0120,Product 120,Packaging,173,314,324,28.22,4882.06
P0121,Product 121,Raw Material,612,680,641,15.31,9369.72
P0122,Product 122,Raw Material,4692,658,1112,54.95,257825.4
P0123,Product 123,Finished Goods,3045,572,1033,18.94,57672.3
P0124,Product 124,Finished Goods,796,120,941,17.32,13786.72
P0125,Product 125,Finished Goods,1830,55,812,8.37,15317.1
P0126,Product 126,Packaging,1769,681,328,26.41,46719.29
P0127,Product 127,Raw Material,435,477,1042,43.71,19013.85
P0128,Product 128,Raw Material,3423,414,210,33.8,115697.4
P0129,Product 129,Spare Parts,4798,612,381,46.77,224402.46
P0130,Product 130,Raw Material,4394,288,910,19.89,87396.66
P0131,Product 131,Consumables,522,226,853,5.51,2876.22
P0132,Product 132,Packaging,1757,344,1114,41.3,72564.1
P0133,Product 133,Packaging,4118,554,542,22.89,94261.02
P0134,Product 134,Finished Goods,2818,552,1090,154.06,434141.08
P0135,Product 135,Packaging,1220,340,844,8.99,10967.8
P0136,Product 136,Finished Goods,3108,641,1003,25.8,80186.4
P0137,Product 137,Finished Goods,2787,358,761,64.71,180346.77
P0138,Product 138,Finished Goods,4895,285,171,13.05,63879.75
P0139,Product 139,Finished Goods,2431,212,408,8.07,19618.17
P0140,Product 140,Raw Material,4405,612,176,59.76,263242.8
P0141,Product 141,Finished Goods,2780,331,881,13.32,37029.6
P0142,Product 142,Finished Goods,91,365,834,77.73,7073.43
P0143,Product 143,Consumables,2632,669,432,23.9,62904.8
P0144,Product 144,Raw Material,206,285,1050,16.32,3361.92
P0145,Product 145,Raw Material,4625,215,527,9.94,45972.5
P0146,Product 146,Finished Goods,1092,503,237,36.77,40152.84
P0147,Product 147,Raw Material,2683,195,420,131.7,353351.1
P0148,Product 148,Raw Material,906,94,1060,21.61,19578.66
P0149,Product 149,Consumables,3483,246,1043,16.41,57156.03
P0150,Product 150,Consumables,4602,253,281,47.59,219009.18
P0151,Product 151,Spare Parts,2719,432,445,7.27,19767.13
P0152,Product 152,Packaging,4992,206,1184,149.09,744257.28
P0153,Product 153,Finished Goods,955,448,973,22.7,21678.5
P0154,Product 154,Consumables,3890,513,519,7.32,28474.8
P0155,Product 155,Finished Goods,937,79,759,70.69,66236.53
P0156,Product 156,Raw Material,2435,322,1165,57.88,140937.8
P0157,Product 157,Consumables,3847,601,505,22.27,85672.69
P0158,Product 158,Consumables,1518,213,445,24.91,37813.38
P0159,Product 159,Finished Goods,162,613,600,27.35,4430.7
P0160,Product 160,Packaging,3693,532,833,21.92,80950.56
P0161,Product 161,Finished Goods,2070,676,172,23.0,47610.0
P0162,Product 162,Spare Parts,3797,689,405,77.6,294647.2
P0163,Product 163,Packaging,1445,211,826,26.53,38335.85
P0164,Product 164,Finished Goods,4158,56,981,23.14,96216.12
P0165,Product 165,Raw Material,1856,283,294,40.92,75947.52
P0166,Product 166,Packaging,1461,417,704,72.38,105747.18
P0167,Product 167,Packaging,4893,100,905,97.28,475991.04
P0168,Product 168,Spare Parts,1064,412,769,15.53,16523.92
P0169,Product 169,Consumables,4708,662,296,56.0,263648.0
P0170,Product 170,Spare Parts,4070,125,961,7.51,30565.7
P0171,Product 171,Raw Material,671,186,571,65.61,44024.31
P0172,Product 172,Raw Material,4827,252,272,18.11,87416.97
P0173,Product 173,Raw Material,3491,241,314,16.84,58788.44
P0174,Product 174,Consumables,948,204,298,10.22,9688.56
P0175,Product 175,Consumables,3124,654,1138,12.4,38737.6
P0176,Product 176,Spare Parts,2878,690,270,9.87,28405.86
P0177,Product 177,Finished Goods,1922,638,917,6.32,12147.04
P0178,Product 178,Spare Parts,326,120,958,39.19,12775.94
P0179,Product 179,Finished Goods,2316,509,691,10.87,25174.92
P0180,Product 180,Raw Material,22,232,618,118.9,2615.8
P0181,Product 181,Consumables,568,612,1012,40.28,22879.04
P0182,Product 182,Finished Goods,3436,651,591,16.64,57175.04
P0183,Product 183,Raw Material,4648,439,533,15.1,70184.8
P0184,Product 184,Packaging,1952,129,1188,13.28,25922.56
P0185,Product 185,Spare Parts,3266,343,419,28.12,91839.92
P0186,Product 186,Raw Material,4338,277,957,14.33,62163.54
P0187,Product 187,Finished Goods,4268,682,1186,53.61,228807.48
P0188,Product 188,Packaging,569,278,277,36.04,20506.76
P0189,Product 189,Spare Parts,393,639,1107,31.57,12407.01
P0190,Product 190,Finished Goods,2493,458,233,88.22,219932.46
P0191,Product 191,Packaging,198,468,684,48.89,9680.22
P0192,Product 192,Packaging,2195,542,224,30.83,67671.85
P0193,Product 193,Consumables,846,624,754,11.61,9822.06
P0194,Product 194,Raw Material,2424,170,509,36.29,87966.96
P0195,Product 195,Spare Parts,2588,614,923,23.24,60145.12
P0196,Product 196,Consumables,2340,158,482,12.67,29647.8
P0197,Product 197,Packaging,3007,288,818,5.07,15245.49
P0198,Product 198,Raw Material,4917,318,776,14.8,72771.6
P0199,Product 199,Raw Material,699,378,562,32.4,22647.6
P0200,Product 200,Raw Material,2907,155,534,25.68,74651.76
P0201,Product 201,Consumables,4321,493,1151,94.33,407599.93
P0202,Product 202,Packaging,3209,611,189,42.03,134874.27
P0203,Product 203,Packaging,4544,609,866,48.86,222019.84
P0204,Product 204,Spare Parts,1129,196,232,16.02,18086.58
P0205,Product 205,Raw Material,2160,128,642,20.48,44236.8
P0206,Product 206,Raw Material,935,444,1114,15.09,14109.15
P0207,Product 207,Raw Material,1927,50,964,8.09,15589.43
P0208,Product 208,Raw Material,4296,672,565,52.08,223735.68
P0209,Product 209,Finished Goods,573,608,974,103.69,59414.37
P0210,Product 210,Raw Material,4995,663,451,103.76,518281.2
P0211,Product 211,Finished Goods,882,148,993,94.27,83146.14
P0212,Product 212,Spare Parts,2013,284,160,3.54,7126.02
P0213,Product 213,Raw Material,2399,84,530,7.02,16840.98
P0214,Product 214,Raw Material,104,691,1000,90.87,9450.48
P0215,Product 215,Packaging,3934,264,1053,102.77,404297.18
P0216,Product 216,Packaging,124,637,753,16.45,2039.8
P0217,Product 217,Consumables,3709,545,625,73.26,271721.34
P0218,Product 218,Finished Goods,3526,447,562,19.7,69462.2
P0219,Product 219,Raw Material,3036,545,592,33.63,102100.68
P0220,Product 220,Finished Goods,3947,337,387,45.34,178956.98
P0221,Product 221,Packaging,1254,342,339,61.62,77271.48
P0222,Product 222,Finished Goods,2719,509,549,18.32,49812.08
P0223,Product 223,Finished Goods,1977,205,1173,44.19,87363.63
P0224,Product 224,Finished Goods,3807,355,460,58.74,223623.18
P0225,Product 225,Finished Goods,1638,420,993,10.77,17641.26
P0226,Product 226,Spare Parts,1466,314,270,45.44,66615.04
P0227,Product 227,Spare Parts,4910,412,639,44.03,216187.3
P0228,Product 228,Packaging,4446,665,609,11.38,50595.48
P0229,Product 229,Raw Material,2394,556,768,42.96,102846.24
P0230,Product 230,Raw Material,2326,103,375,114.95,267373.7
P0231,Product 231,Consumables,1152,519,556,20.84,24007.68
P0232,Product 232,Consumables,1147,325,276,113.67,130379.49
P0233,Product 233,Finished Goods,3731,92,588,6.27,23393.37
P0234,Product 234,Consumables,3224,494,185,32.68,105360.32
P0235,Product 235,Finished Goods,2015,184,298,53.23,107258.45
P0236,Product 236,Raw Material,1229,215,1138,73.28,90061.12
P0237,Product 237,Spare Parts,2290,603,1001,9.02,20655.8
P0238,Product 238,Consumables,4069,624,772,9.48,38574.12
P0239,Product 239,Finished Goods,448,615,216,40.65,18211.2
P0240,Product 240,Packaging,1484,440,995,39.5,58618.0
P0241,Product 241,Raw Material,4092,112,1023,13.56,55487.52
P0242,Product 242,Packaging,4355,59,369,23.54,102516.7
P0243,Product 243,Finished Goods,1176,154,1001,76.41,89858.16
P0244,Product 244,Finished Goods,4612,331,275,2.85,13144.2
P0245,Product 245,Finished Goods,639,310,173,40.47,25860.33
P0246,Product 246,Packaging,3639,186,680,24.78,90174.42
P0247,Product 247,Raw Material,4369,596,434,30.82,134652.58
P0248,Product 248,Finished Goods,4355,336,1005,192.06,836421.3
P0249,Product 249,Raw Material,1002,222,386,31.01,31072.02
P0250,Product 250,Spare Parts,3639,494,744,54.83,199526.37
P0251,Product 251,Packaging,3357,454,423,22.87,76774.59
P0252,Product 252,Finished Goods,3452,385,628,17.59,60720.68
P0253,Product 253,Consumables,4193,446,486,28.98,121513.14
P0254,Product 254,Raw Material,2152,145,246,16.99,36562.48
P0255,Product 255,Finished Goods,612,528,502,25.43,15563.16
P0256,Product 256,Raw Material,3563,301,724,11.71,41722.73
P0257,Product 257,Spare Parts,3138,223,864,6.88,21589.44
P0258,Product 258,Finished Goods,2660,444,396,33.26,88471.6
P0259,Product 259,Packaging,2387,84,1194,31.17,74402.79
P0260,Product 260,Finished Goods,3561,656,192,15.08,53699.88
P0261,Product 261,Finished Goods,540,198,1007,15.19,8202.6
P0262,Product 262,Consumables,2663,338,568,53.23,141751.49
P0263,Product 263,Raw Material,2503,380,976,46.17,115563.51
P0264,Product 264,Finished Goods,3616,447,1070,23.33,84361.28
P0265,Product 265,Raw Material,1781,452,316,41.26,73484.06
P0266,Product 266,Finished Goods,3850,57,1174,28.38,109263.0
P0267,Product 267,Packaging,1581,194,400,50.2,79366.2
P0268,Product 268,Consumables,3774,143,885,29.57,111597.18
P0269,Product 269,Finished Goods,3979,671,304,103.19,410593.01
P0270,Product 270,Raw Material,731,616,580,14.47,10577.57
P0271,Product 271,Packaging,4859,230,1006,31.46,152864.14
P0272,Product 272,Raw Material,183,172,1041,43.7,7997.1
P0273,Product 273,Raw Material,2491,534,965,28.06,69897.46
P0274,Product 274,Raw Material,906,546,276,18.53,16788.18
P0275,Product 275,Packaging,2725,256,711,27.5,74937.5
P0276,Product 276,Raw Material,4601,496,275,9.86,45365.86
P0277,Product 277,Packaging,3302,664,1157,9.77,32260.54
P0278,Product 278,Packaging,2405,651,495,30.22,72679.1
P0279,Product 279,Packaging,2689,288,456,17.75,47729.75
P0280,Product 280,Packaging,1340,138,881,13.74,18411.6
P0281,Product 281,Spare Parts,3266,260,478,33.98,110978.68
P0282,Product 282,Finished Goods,4773,689,207,4.37,20858.01
P0283,Product 283,Raw Material,4858,198,1130,43.54,211517.32
P0284,Product 284,Spare Parts,3458,234,642,14.85,51351.3
P0285,Product 285,Spare Parts,2231,598,1111,8.64,19275.84
P0286,Product 286,Packaging,3270,327,600,64.42,210653.4
P0287,Product 287,Raw Material,3698,352,902,97.42,360259.16
P0288,Product 288,Raw Material,377,530,1078,57.09,21522.93
P0289,Product 289,Raw Material,473,596,439,8.53,4034.69
P0290,Product 290,Finished Goods,3728,378,454,32.3,120414.4
P0291,Product 291,Finished Goods,4071,285,1122,14.89,60617.19
P0292,Product 292,Raw Material,4660,260,333,35.6,165896.0
P0293,Product 293,Finished Goods,3773,522,363,4.25,16035.25
P0294,Product 294,Spare Parts,4392,317,476,10.44,45852.48
P0295,Product 295,Raw Material,2711,309,299,13.94,37791.34
P0296,Product 296,Finished Goods,3685,614,361,14.2,52327.0
P0297,Product 297,Spare Parts,494,168,1062,24.38,12043.72
P0298,Product 298,Raw Material,4555,529,862,13.76,62676.8
P0299,Product 299,Raw Material,4879,417,389,21.53,105044.87
P0300,Product 300,Finished Goods,1091,50,811,6.89,7516.99
P0301,Product 301,Spare Parts,1358,690,203,26.64,36177.12
P0302,Product 302,Packaging,2477,683,307,26.62,65937.74
P0303,Product 303,Spare Parts,4111,598,684,9.97,40986.67
P0304,Product 304,Packaging,2961,446,1021,30.94,91613.34
P0305,Product 305,Raw Material,3288,281,889,13.65,44881.2
P0306,Product 306,Packaging,1818,368,348,8.13,14780.34
P0307,Product 307,Finished Goods,1809,669,1139,3.46,6259.14
P0308,Product 308,Raw Material,4653,397,1026,9.39,43691.67
P0309,Product 309,Raw Material,1136,51,160,5.69,6463.84
P0310,Product 310,Packaging,453,375,515,17.72,8027.16
P0311,Product 311,Spare Parts,1897,663,1009,37.51,71156.47
P0312,Product 312,Packaging,806,503,898,33.48,26984.88
P0313,Product 313,Raw Material,4884,153,786,25.05,122344.2
P0314,Product 314,Consumables,3142,461,341,43.48,136614.16
P0315,Product 315,Finished Goods,2292,71,344,45.01,103162.92
P0316,Product 316,Raw Material,2981,192,1083,74.82,223038.42
P0317,Product 317,Finished Goods,188,324,409,18.33,3446.04
P0318,Product 318,Spare Parts,1101,625,944,11.13,12254.13
P0319,Product 319,Raw Material,2572,557,1110,27.06,69598.32
P0320,Product 320,Raw Material,4536,635,1054,14.0,63504.0
P0321,Product 321,Spare Parts,4495,288,346,17.79,79966.05
P0322,Product 322,Raw Material,887,253,819,44.36,39347.32
P0323,Product 323,Finished Goods,2081,402,610,30.19,62825.39
P0324,Product 324,Raw Material,2710,67,1017,24.43,66205.3
P0325,Product 325,Raw Material,4355,454,424,8.67,37757.85
P0326,Product 326,Finished Goods,2897,308,298,80.86,234251.42
P0327,Product 327,Consumables,387,642,437,170.55,66002.85
P0328,Product 328,Finished Goods,4059,448,461,16.5,66973.5
P0329,Product 329,Raw Material,4100,560,262,17.97,73677.0
P0330,Product 330,Finished Goods,205,219,930,24.08,4936.4
P0331,Product 331,Raw Material,4296,466,853,4.56,19589.76
P0332,Product 332,Spare Parts,1351,53,223,40.18,54283.18
P0333,Product 333,Raw Material,4952,72,814,14.33,70962.16
P0334,Product 334,Packaging,1629,545,542,32.73,53317.17
P0335,Product 335,Packaging,998,290,275,33.7,33632.6
P0336,Product 336,Finished Goods,3114,325,373,24.44,76106.16
P0337,Product 337,Raw Material,862,390,242,25.72,22170.64
P0338,Product 338,Packaging,4171,471,1014,83.77,349404.67
P0339,Product 339,Raw Material,535,482,157,12.17,6510.95
P0340,Product 340,Consumables,3852,475,1152,18.67,71916.84
P0341,Product 341,Finished Goods,613,380,182,63.12,38692.56
P0342,Product 342,Raw Material,1534,226,1175,20.73,31799.82
P0343,Product 343,Packaging,1481,319,803,91.31,135230.11
P0344,Product 344,Packaging,2081,567,418,61.32,127606.92
P0345,Product 345,Consumables,4211,677,1052,24.12,101569.32
P0346,Product 346,Raw Material,3492,65,1075,4.08,14247.36
P0347,Product 347,Finished Goods,2333,322,1040,28.9,67423.7
P0348,Product 348,Raw Material,1971,50,242,19.12,37685.52
P0349,Product 349,Raw Material,4259,408,370,15.94,67888.46
P0350,Product 350,Packaging,2702,148,216,25.89,69954.78
P0351,Product 351,Raw Material,2088,449,1131,22.17,46290.96
P0352,Product 352,Finished Goods,4726,198,175,12.44,58791.44
P0353,Product 353,Spare Parts,1833,318,783,29.63,54311.79
P0354,Product 354,Packaging,4271,549,416,28.06,119844.26
P0355,Product 355,Raw Material,441,262,192,23.68,10442.88
P0356,Product 356,Consumables,4273,180,433,38.2,163228.6
P0357,Product 357,Packaging,1164,428,918,7.08,8241.12
P0358,Product 358,Finished Goods,1817,188,1070,21.07,38284.19
P0359,Product 359,Finished Goods,4873,692,392,32.57,158713.61
P0360,Product 360,Finished Goods,1835,627,827,29.36,53875.6
P0361,Product 361,Packaging,750,74,898,34.45,25837.5
P0362,Product 362,Raw Material,1017,505,903,24.2,24611.4
P0363,Product 363,Raw Material,3894,273,151,95.31,371137.14
P0364,Product 364,Raw Material,3192,144,972,6.61,21099.12
P0365,Product 365,Finished Goods,1542,200,357,9.43,14541.06
P0366,Product 366,Raw Material,2015,616,788,32.97,66434.55
P0367,Product 367,Packaging,2053,118,678,42.62,87498.86
P0368,Product 368,Packaging,2025,573,1117,34.09,69032.25
P0369,Product 369,Finished Goods,3498,102,651,32.15,112460.7
P0370,Product 370,Raw Material,211,387,1030,23.26,4907.86
P0371,Product 371,Finished Goods,4412,577,1190,70.46,310869.52
P0372,Product 372,Raw Material,3368,500,636,12.98,43716.64
P0373,Product 373,Finished Goods,3384,360,1077,21.99,74414.16
P0374,Product 374,Raw Material,1764,568,1098,42.17,74387.88
P0375,Product 375,Finished Goods,2696,655,255,19.69,53084.24
P0376,Product 376,Finished Goods,2536,300,794,19.63,49781.68
P0377,Product 377,Consumables,356,303,1016,13.27,4724.12
P0378,Product 378,Finished Goods,1920,475,286,42.85,82272.0
P0379,Product 379,Raw Material,3443,559,1047,19.43,66897.49
P0380,Product 380,Packaging,1521,166,1035,154.73,235344.33
P0381,Product 381,Finished Goods,3913,441,441,25.44,99546.72
P0382,Product 382,Finished Goods,4610,417,474,11.94,55043.4
P0383,Product 383,Finished Goods,2417,379,563,10.68,25813.56
P0384,Product 384,Raw Material,2486,79,561,55.03,136804.58
P0385,Product 385,Finished Goods,1098,309,499,23.02,25275.96
P0386,Product 386,Spare Parts,4385,180,650,24.75,108528.75
P0387,Product 387,Spare Parts,2528,465,676,115.48,291933.44
P0388,Product 388,Raw Material,4290,515,279,23.11,99141.9
P0389,Product 389,Spare Parts,1861,53,931,21.97,40886.17
P0390,Product 390,Packaging,1979,55,157,11.19,22145.01
P0391,Product 391,Raw Material,1023,111,766,30.74,31447.02
P0392,Product 392,Raw Material,212,646,462,88.63,18789.56
P0393,Product 393,Finished Goods,1489,631,475,23.48,34961.72
P0394,Product 394,Raw Material,682,675,572,38.35,26154.7
P0395,Product 395,Raw Material,4345,556,1143,12.94,56224.3
P0396,Product 396,Packaging,4184,665,501,24.57,102800.88
P0397,Product 397,Raw Material,1202,297,1008,7.14,8582.28
P0398,Product 398,Spare Parts,244,315,897,21.18,5167.92
P0399,Product 399,Raw Material,2875,154,314,30.92,88895.0
P0400,Product 400,Spare Parts,2574,538,281,24.64,63423.36
P0401,Product 401,Raw Material,3176,565,214,44.54,141459.04
P0402,Product 402,Raw Material,4334,668,630,15.97,69213.98
P0403,Product 403,Raw Material,895,351,963,7.68,6873.6
P0404,Product 404,Raw Material,3314,391,355,20.78,68864.92
P0405,Product 405,Consumables,181,657,1090,89.15,16136.15
P0406,Product 406,Consumables,373,643,1062,14.28,5326.44
P0407,Product 407,Consumables,4960,323,190,18.77,93099.2
P0408,Product 408,Raw Material,3086,588,1025,7.97,24595.42
P0409,Product 409,Packaging,4784,304,223,25.53,122135.52
P0410,Product 410,Consumables,2677,486,956,25.54,68370.58
P0411,Product 411,Finished Goods,4294,399,1093,26.45,113576.3
P0412,Product 412,Finished Goods,1522,504,172,10.94,16650.68
P0413,Product 413,Spare Parts,1159,66,208,22.19,25718.21
P0414,Product 414,Finished Goods,4280,407,224,19.0,81320.0
P0415,Product 415,Finished Goods,2455,644,231,79.87,196080.85
P0416,Product 416,Raw Material,2761,402,834,18.68,51575.48
P0417,Product 417,Raw Material,1313,224,841,49.86,65466.18
P0418,Product 418,Packaging,4587,198,273,36.03,165269.61
P0419,Product 419,Raw Material,1398,400,499,30.2,42219.6
P0420,Product 420,Spare Parts,3905,421,954,27.29,106567.45
P0421,Product 421,Finished Goods,1558,541,545,33.23,51772.34
P0422,Product 422,Raw Material,4278,66,364,12.59,53860.02
P0423,Product 423,Packaging,3051,349,152,79.44,242371.44
P0424,Product 424,Spare Parts,3738,630,447,18.87,70536.06
P0425,Product 425,Raw Material,2182,238,474,14.2,30984.4
P0426,Product 426,Consumables,1769,585,958,29.1,51477.9
P0427,Product 427,Raw Material,2140,219,300,8.35,17869.0
P0428,Product 428,Consumables,1930,670,834,30.47,58807.1
P0429,Product 429,Raw Material,1789,677,1060,21.45,38374.05
P0430,Product 430,Packaging,2950,608,521,14.13,41683.5
P0431,Product 431,Packaging,93,53,161,23.87,2219.91
P0432,Product 432,Raw Material,1810,659,835,51.91,93957.1
P0433,Product 433,Raw Material,2901,130,558,25.62,74323.62
P0434,Product 434,Packaging,2043,194,1046,21.81,44557.83
P0435,Product 435,Finished Goods,1528,94,858,67.66,103384.48
P0436,Product 436,Raw Material,3449,141,456,25.2,86914.8
P0437,Product 437,Spare Parts,291,153,470,17.51,5095.41
P0438,Product 438,Finished Goods,847,232,288,9.58,8114.26
P0439,Product 439,Finished Goods,267,252,379,9.48,2531.16
P0440,Product 440,Spare Parts,4549,638,265,13.93,63367.57
P0441,Product 441,Finished Goods,986,87,1112,21.71,21406.06
P0442,Product 442,Raw Material,211,224,460,11.08,2337.88
P0443,Product 443,Finished Goods,2589,69,954,17.11,44297.79
P0444,Product 444,Raw Material,4094,166,916,35.18,144026.92
P0445,Product 445,Raw Material,551,368,1149,45.87,25274.37
